Round,Tier,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Wins,Losses,Draws,WinRate%
15,6,Blastoise,Xatu,Pidgeot,Donphan,Lugia,Arcanine,221,4,0,98.2
15,6,Suicune,Jolteon,Celebi,Scizor,Vibrava,Xatu,181,5,0,97.3
15,6,Suicune,Pidgeot,Raichu,Groudon,Exploud,Xatu,198,6,1,96.6
15,6,Raikou,Sandslash,Lugia,Tauros,Xatu,Starmie,181,7,0,96.3
15,6,Camerupt,Arcanine,Pidgeot,Electrode,Exploud,Tyranitar,197,9,0,95.6
15,6,Skarmory,Moltres,Raikou,Groudon,Scizor,Arcanine,189,9,0,95.5
15,6,Lugia,Exploud,Suicune,Raikou,Groudon,Celebi,196,10,0,95.1
15,6,Scizor,Charizard,Pidgeot,Xatu,Donphan,Magmar,194,10,0,95.1
15,6,Starmie,Magneton,Tauros,Xatu,Bellossom,Donphan,211,12,0,94.6
15,6,Vileplume,Jolteon,Rapidash,Arcanine,Pidgeot,Raikou,201,12,0,94.4
15,6,Flareon,Raikou,Fearow,Lugia,Dugtrio,Donphan,189,12,0,94.0
15,6,Sceptile,Raikou,Celebi,Gyarados,Pidgeot,Exploud,197,13,0,93.8
15,6,Suicune,Pidgeot,Donphan,Starmie,Xatu,Cacturne,195,12,1,93.8
15,6,Fearow,Bellossom,Dugtrio,Tauros,Flygon,Lugia,190,13,1,93.1
15,6,Donphan,Lugia,Slowbro,Scyther,Sandslash,Tauros,185,13,1,93.0
15,6,Moltres,Blastoise,Celebi,Scizor,Donphan,Tyranitar,196,14,1,92.9
15,6,Lugia,Raikou,Slaking,Xatu,Suicune,Arcanine,194,12,3,92.8
15,6,Scizor,Celebi,Pidgeot,Ampharos,Groudon,Rapidash,193,15,0,92.8
15,6,Lugia,Xatu,Pidgeot,Slowbro,Fearow,Raikou,189,15,0,92.6
15,6,Suicune,Pidgeot,Raikou,Celebi,Azumarill,Sandslash,189,15,0,92.6
15,6,Suicune,Electabuzz,Blastoise,Groudon,Lugia,Miltank,201,16,0,92.6
15,6,Dugtrio,Charizard,Arcanine,Xatu,Moltres,Lugia,197,16,0,92.5
15,6,Manectric,Blastoise,Pelipper,Electabuzz,Celebi,Donphan,197,16,0,92.5
15,6,Bellossom,Suicune,Tauros,Flaaffy,Tropius,Arcanine,182,14,1,92.4
15,6,Fearow,Donphan,Pidgeot,Flygon,Raikou,Typhlosion,169,13,1,92.3
15,6,Groudon,Raichu,Pidgeot,Tauros,Steelix,Blissey,189,16,0,92.2
15,6,Dugtrio,Exploud,Electabuzz,Lugia,Donphan,Fearow,188,16,0,92.2
15,6,Exploud,Moltres,Girafarig,Pidgeot,Flygon,Arcanine,185,16,0,92.0
15,6,Arcanine,Rapidash,Flygon,Scizor,Groudon,Flaaffy,182,16,0,91.9
15,6,Manectric,Pidgeot,Magneton,Xatu,Tauros,Exploud,181,16,0,91.9
15,6,Vileplume,Pidgeot,Gyarados,Xatu,Tauros,Ampharos,180,16,0,91.8
15,6,Magneton,Noctowl,Arcanine,Starmie,Sceptile,Tauros,202,13,5,91.8
15,6,Jolteon,Fearow,Tyranitar,Exploud,Pidgeot,Vileplume,179,15,1,91.8
15,6,Vaporeon,Vileplume,Electabuzz,Groudon,Blissey,Scizor,198,18,0,91.7
15,6,Scizor,Venusaur,Moltres,Celebi,Tropius,Xatu,176,9,7,91.7
15,6,Groudon,Lileep,Scizor,Magneton,Xatu,Lugia,185,17,0,91.6
15,6,Raikou,Xatu,Vileplume,Moltres,Charizard,Pidgeot,183,17,0,91.5
15,6,Raikou,Scizor,Celebi,Slaking,Tauros,Magmar,182,17,0,91.5
15,6,Sandslash,Arcanine,Suicune,Tauros,Scizor,Slowbro,198,17,2,91.2
15,6,Vaporeon,Arcanine,Tropius,Donphan,Pidgeot,Celebi,187,16,2,91.2
15,6,Blissey,Flygon,Raikou,Fearow,Tauros,Golem,176,17,0,91.2
15,6,Suicune,Vibrava,Moltres,Venusaur,Electabuzz,Fearow,184,18,0,91.1
15,6,Azumarill,Magneton,Pidgeot,Typhlosion,Suicune,Celebi,184,17,1,91.1
15,6,Pidgeot,Scyther,Donphan,Suicune,Raikou,Pidgeotto,184,18,0,91.1
15,6,Electrode,Celebi,Exploud,Moltres,Jolteon,Fearow,172,17,0,91.0
15,6,Staryu,Suicune,Sceptile,Tauros,Raichu,Flygon,170,14,3,90.9
15,6,Persian,Exploud,Pidgeot,Raikou,Arcanine,Bellossom,199,19,1,90.9
15,6,Suicune,Vileplume,Electabuzz,Flaaffy,Sandslash,Pidgeot,169,17,0,90.9
15,6,Staryu,Moltres,Xatu,Raikou,Celebi,Typhlosion,169,17,0,90.9
15,6,Arcanine,Starmie,Magneton,Pidgeot,Magcargo,Tauros,177,17,1,90.8
15,6,Raikou,Pupitar,Noctowl,Fearow,Donphan,Xatu,202,21,0,90.6
15,6,Cacturne,Arcanine,Jolteon,Celebi,Snorlax,Scizor,173,16,2,90.6
15,6,Miltank,Raikou,Vibrava,Skarmory,Celebi,Tauros,173,16,2,90.6
15,6,Tyranitar,Lugia,Sceptile,Pidgeot,Xatu,Flareon,172,17,1,90.5
15,6,Cacturne,Lugia,Suicune,Rapidash,Scizor,Groudon,179,19,0,90.4
15,6,Pidgeotto,Sceptile,Charizard,Suicune,Tauros,Venusaur,197,19,2,90.4
