Round,Tier,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Wins,Losses,Draws,WinRate%
11,4,Ponyta,Persian,Donphan,Exploud,Electrode,Slowbro,201,5,0,97.6
11,4,Flaaffy,Exploud,Lileep,Donphan,Xatu,Slowbro,194,5,0,97.5
11,4,Exeggutor,Miltank,Jolteon,Magmar,Flaaffy,Donphan,194,6,0,97.0
11,4,Exploud,Cacturne,Spearow,Natu,Pupitar,Xatu,182,5,1,96.8
11,4,Ivysaur,Cacnea,Pupitar,Whismur,Flaaffy,Cacturne,182,8,0,95.8
11,4,Larvitar,Vaporeon,Flaaffy,Cacturne,Minun,Magnemite,191,9,0,95.5
11,4,Electrike,Persian,Pelipper,Vibrava,Xatu,Raticate,204,9,1,95.3
11,4,Persian,Dugtrio,Porygon2,Electabuzz,Natu,Golduck,182,7,2,95.3
11,4,Staryu,Donphan,Flaaffy,Pelipper,Vaporeon,Cacturne,190,8,2,95.0
11,4,Mantine,Electabuzz,Girafarig,Blaziken,Hoothoot,Donphan,182,8,2,94.8
11,4,Flaaffy,Cacturne,Persian,Jolteon,Xatu,Sandshrew,197,11,0,94.7
11,4,Magmar,Pupitar,Exeggutor,Electrode,Blaziken,Donphan,190,10,1,94.5
11,4,Ninetales,Exeggutor,Tentacruel,Cacturne,Xatu,Spearow,188,11,0,94.5
11,4,Swampert,Xatu,Cacturne,Donphan,Camerupt,Pupitar,170,9,1,94.4
11,4,Porygon2,Magmar,Miltank,Xatu,Graveler,Donphan,183,11,0,94.3
11,4,Exploud,Whismur,Flaaffy,Exeggutor,Electabuzz,Pidgeotto,182,10,1,94.3
11,4,Lileep,Flareon,Ponyta,Porygon2,Electabuzz,Crobat,198,8,4,94.3
11,4,Phanpy,Xatu,Flareon,Lileep,Electrike,Vibrava,174,10,1,94.1
11,4,Diglett,Pidgeotto,Electabuzz,Donphan,Xatu,Camerupt,173,11,0,94.0
11,4,Spearow,Crobat,Electrode,Persian,Flareon,Vibrava,184,12,0,93.9
11,4,Exploud,Slowbro,Girafarig,Vibrava,Flareon,Cubone,196,12,1,93.8
11,4,Exploud,Flareon,Cacturne,Girafarig,Xatu,Lileep,191,12,1,93.6
11,4,Exeggcute,Flareon,Exploud,Ninetales,Pidgey,Donphan,190,12,1,93.6
