Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Lugia,Groudon,77.3,62.1,15.2,218
Pidgeot,Groudon,77.54,62.78,14.75,228
Lugia,Donphan,74.62,59.92,14.7,209
Pidgeot,Donphan,75.18,60.61,14.57,235
Lugia,Raikou,76.77,62.45,14.32,223
Scizor,Groudon,75.84,61.72,14.12,248
Celebi,Donphan,73.6,60.01,13.59,218
Pidgeot,Pelipper,67.4,53.94,13.47,208
Tauros,Donphan,72.42,59.2,13.22,216
Pidgeot,Suicune,75.07,62.0,13.07,234
Celebi,Suicune,74.44,61.41,13.03,240
Celebi,Raikou,75.47,62.53,12.93,231
Scizor,Flaaffy,70.19,57.45,12.74,229
Pidgeot,Raikou,75.75,63.13,12.62,231
Lugia,Suicune,73.66,61.31,12.35,232
Raikou,Xatu,69.44,57.33,12.11,216
Arcanine,Suicune,72.6,60.61,11.99,248
Scizor,Raikou,74.0,62.06,11.94,201
Pidgeot,Celebi,76.45,64.55,11.91,216
Celebi,Xatu,70.63,58.75,11.88,207
Pidgeot,Ampharos,70.26,58.41,11.85,209
Scizor,Xatu,70.13,58.27,11.85,199
Lugia,Arcanine,74.77,63.06,11.71,234
Scizor,Arcanine,74.33,62.68,11.65,205
Lugia,Ampharos,69.34,57.73,11.61,215
Arcanine,Blastoise,69.75,58.17,11.58,222
Arcanine,Donphan,70.67,59.21,11.46,229
Pidgeot,Arcanine,75.2,63.75,11.46,208
Celebi,Lugia,75.27,63.86,11.41,212
Tauros,Suicune,71.95,60.59,11.36,201
Celebi,Arcanine,74.5,63.15,11.35,209
Celebi,Fearow,71.66,60.37,11.29,199
Arcanine,Flaaffy,68.3,57.12,11.18,225
Lugia,Xatu,69.62,58.66,10.97,233
Pidgeot,Dugtrio,66.41,55.47,10.94,215
Lugia,Tauros,73.96,63.05,10.91,259
Pidgeot,Moltres,71.77,60.91,10.86,219
Raikou,Fearow,69.8,58.95,10.85,202
Pidgeot,Tauros,74.5,63.73,10.76,191
Tauros,Xatu,68.66,57.94,10.73,214
Scizor,Tauros,73.33,62.67,10.66,242
Lugia,Electrode,66.65,56.03,10.63,214
Pidgeot,Raichu,68.4,57.83,10.58,217
Celebi,Starmie,67.29,56.76,10.53,215
Celebi,Flaaffy,68.43,57.92,10.51,246
Scizor,Donphan,70.02,59.54,10.48,210
Pidgeot,Blastoise,70.03,59.56,10.47,220
Arcanine,Raikou,72.17,61.73,10.44,240
Raikou,Donphan,69.02,58.59,10.43,207
Celebi,Rapidash,68.31,57.9,10.41,205
Arcanine,Tauros,72.75,62.34,10.41,255
Celebi,Scizor,73.89,63.48,10.41,219
Suicune,Charizard,67.46,57.07,10.39,227
Lugia,Blastoise,69.26,58.88,10.38,242
Lugia,Flaaffy,68.16,57.83,10.33,213
Celebi,Ampharos,68.06,57.81,10.25,193
Scizor,Dugtrio,64.65,54.4,10.25,198
Celebi,Blastoise,69.22,58.97,10.25,212
Pidgeot,Lugia,74.68,64.45,10.23,213
Pidgeot,Xatu,69.55,59.34,10.21,205
Lugia,Jolteon,67.07,56.93,10.14,211
Groudon,Fearow,68.75,58.61,10.14,218
Tauros,Raikou,71.86,61.72,10.14,224
Lugia,Flygon,68.28,58.15,10.13,218
Arcanine,Xatu,68.08,57.95,10.13,234
Raikou,Suicune,70.12,59.99,10.13,217
Arcanine,Blissey,66.19,56.14,10.05,206
Pidgeot,Exploud,66.62,56.67,9.95,220
Tauros,Skarmory,65.51,55.56,9.94,235
Pidgeot,Electrode,66.63,56.71,9.92,209
Scizor,Ampharos,67.17,57.34,9.83,221
Pidgeot,Flygon,68.67,58.84,9.83,219
Lugia,Moltres,70.03,60.23,9.8,227
Celebi,Tauros,72.9,63.14,9.76,208
Pidgeot,Rapidash,68.25,58.5,9.75,208
Pidgeot,Jolteon,67.35,57.62,9.73,229
Scizor,Electabuzz,66.43,56.7,9.73,254
Lugia,Dugtrio,64.42,54.78,9.64,209
Pidgeot,Sceptile,68.84,59.23,9.61,222
Scizor,Moltres,69.42,59.84,9.58,210
Raikou,Venusaur,67.67,58.17,9.5,189
Celebi,Charizard,69.05,59.62,9.43,206
Pidgeot,Fearow,70.39,60.96,9.43,195
Arcanine,Venusaur,68.21,58.78,9.42,215
Pidgeot,Charizard,69.61,60.21,9.4,227
Scizor,Jolteon,65.94,56.55,9.39,205
Arcanine,Ampharos,66.4,57.02,9.39,213
Lugia,Charizard,68.89,59.53,9.36,218
Celebi,Tyranitar,67.46,58.14,9.32,196
Celebi,Moltres,69.59,60.31,9.27,234
Groudon,Scyther,64.7,55.5,9.21,224
Lugia,Sceptile,67.73,58.55,9.19,239
Celebi,Electrode,65.3,56.12,9.19,229
Lugia,Exploud,65.17,55.98,9.18,224
Tauros,Fearow,68.72,59.55,9.16,230
Lugia,Raichu,66.3,57.14,9.16,228
Raikou,Groudon,69.92,60.77,9.15,248
Scizor,Suicune,70.07,60.94,9.14,220
Celebi,Exploud,65.21,56.08,9.13,228
Raikou,Moltres,68.02,58.9,9.12,203
Raikou,Sceptile,66.32,57.22,9.1,237
Arcanine,Flygon,66.54,57.44,9.1,250
Pidgeot,Bellossom,66.69,57.64,9.05,203
Pidgeot,Marowak,63.97,54.92,9.05,189
Celebi,Jolteon,66.05,57.02,9.03,212
Scizor,Exploud,64.62,55.61,9.02,198
Celebi,Blissey,65.95,56.94,9.01,236
Suicune,Moltres,66.76,57.77,8.99,202
Lugia,Starmie,65.64,56.67,8.98,209
Pidgeot,Electabuzz,66.74,57.76,8.98,230
Scizor,Rapidash,66.4,57.43,8.97,207
Arcanine,Charizard,67.78,58.81,8.96,231
Pidgeot,Starmie,66.31,57.35,8.96,206
Pidgeot,Manectric,67.08,58.14,8.95,219
Scizor,Manectric,66.02,57.07,8.95,222
Gyarados,Xatu,62.84,53.92,8.91,236
Pidgeot,Blissey,66.41,57.53,8.88,189
Celebi,Sceptile,67.5,58.64,8.87,233
Arcanine,Moltres,68.38,59.52,8.87,230
Pidgeot,Flaaffy,67.38,58.52,8.86,213
Fearow,Raichu,62.48,53.64,8.84,237
Raikou,Flygon,65.63,56.83,8.81,236
Raikou,Charizard,67.0,58.2,8.8,210
Suicune,Fearow,66.61,57.82,8.79,266
Raikou,Skarmory,63.67,54.96,8.71,229
Lugia,Manectric,66.13,57.45,8.68,225
Raikou,Blastoise,66.21,57.55,8.66,213
Tauros,Scyther,65.1,56.45,8.66,220
Charizard,Xatu,63.05,54.41,8.64,248
Arcanine,Skarmory,64.2,55.58,8.62,214
Lugia,Electabuzz,65.69,57.08,8.62,240
Lugia,Rapidash,66.43,57.81,8.62,221
Tyranitar,Exploud,58.83,50.27,8.57,209
Suicune,Donphan,66.03,57.47,8.57,233
Scizor,Blissey,65.02,56.47,8.56,222
Raikou,Noctowl,63.09,54.54,8.55,215
Pidgeot,Tyranitar,67.27,58.73,8.54,220
Suicune,Rapidash,63.9,55.36,8.54,211
Pidgeot,Steelix,62.89,54.36,8.53,214
Scizor,Graveler,61.65,53.15,8.5,226
Tauros,Flaaffy,65.59,57.11,8.48,218
Donphan,Charizard,64.11,55.67,8.43,245
Arcanine,Fearow,67.99,59.56,8.42,220
Pidgeot,Scizor,72.49,64.08,8.42,215
Moltres,Xatu,63.53,55.11,8.42,215
Moltres,Donphan,64.79,56.38,8.41,195
Suicune,Blastoise,64.81,56.42,8.38,231
Venusaur,Flaaffy,61.91,53.55,8.36,210
Tauros,Charizard,67.15,58.8,8.35,252
Pidgeot,Girafarig,62.3,53.97,8.33,204
Tauros,Growlithe,61.88,53.58,8.31,251
Fearow,Tyranitar,62.83,54.55,8.28,243
Scizor,Steelix,61.56,53.29,8.27,227
Manectric,Pelipper,55.2,46.93,8.27,212
Tauros,Typhlosion,64.12,55.86,8.26,225
Donphan,Sceptile,62.93,54.7,8.24,220
Scizor,Golem,62.44,54.21,8.23,215
Suicune,Venusaur,65.25,57.04,8.21,241
Groudon,Xatu,65.19,56.98,8.2,213
Lugia,Vileplume,65.46,57.27,8.19,204
Groudon,Crobat,60.95,52.76,8.19,246
Pidgeot,Vileplume,66.11,57.95,8.16,222
Lugia,Graveler,61.68,53.53,8.15,227
Celebi,Feraligatr,64.64,56.51,8.13,231
Tauros,Venusaur,66.9,58.77,8.12,243
Celebi,Typhlosion,64.78,56.67,8.11,213
Scizor,Azumarill,61.73,53.61,8.11,215
Celebi,Flygon,66.34,58.24,8.1,239
Pidgeot,Venusaur,68.28,60.18,8.1,224
Tauros,Gyarados,66.38,58.32,8.06,228
Scizor,Flygon,65.82,57.77,8.05,229
Arcanine,Jolteon,64.26,56.22,8.04,203
Arcanine,Sceptile,65.85,57.84,8.02,196
Celebi,Flareon,63.05,55.04,8.01,217
Scizor,Slowbro,61.41,53.41,8.0,199
Tauros,Moltres,67.5,59.5,7.99,204
Lugia,Persian,62.86,54.87,7.99,216
Celebi,Electabuzz,65.13,57.17,7.96,226
Fearow,Starmie,61.13,53.17,7.96,233
Arcanine,Magneton,61.06,53.11,7.96,238
Suicune,Xatu,64.15,56.2,7.95,207
Fearow,Donphan,64.37,56.42,7.95,225
Arcanine,Exploud,63.19,55.28,7.92,248
Celebi,Snorlax,63.42,55.52,7.9,242
Raikou,Scyther,63.74,55.84,7.9,237
Groudon,Noctowl,62.08,54.2,7.89,219
Lugia,Feraligatr,64.28,56.42,7.86,222
Scizor,Sceptile,66.02,58.16,7.86,227
Scizor,Blastoise,66.36,58.5,7.86,218
Donphan,Raichu,61.13,53.29,7.84,224
Raikou,Typhlosion,63.07,55.25,7.82,236
Lugia,Skarmory,64.09,56.28,7.81,200
Celebi,Manectric,65.34,57.54,7.8,233
Tauros,Exeggutor,60.45,52.65,7.8,244
Raikou,Crobat,60.89,53.11,7.78,202
Celebi,Persian,62.74,54.96,7.78,224
Tauros,Sceptile,65.61,57.83,7.78,220
Pidgeot,Persian,63.31,55.55,7.76,197
Scizor,Raichu,64.52,56.76,7.76,234
Arcanine,Electrode,63.07,55.31,7.75,236
Tyranitar,Jolteon,58.95,51.21,7.74,200
Lugia,Fearow,67.99,60.28,7.71,224
Gyarados,Flaaffy,60.8,53.1,7.7,240
Lugia,Golem,62.27,54.59,7.68,221
Tauros,Dugtrio,61.71,54.06,7.65,225
Groudon,Suicune,67.28,59.64,7.63,230
Arcanine,Bellossom,63.87,56.25,7.62,232
Fearow,Charizard,63.65,56.03,7.62,222
Tauros,Groudon,68.96,61.38,7.58,241
Venusaur,Exploud,59.28,51.71,7.57,211
Scizor,Starmie,63.84,56.28,7.56,239
Tauros,Raichu,63.98,56.42,7.56,236
Celebi,Raichu,64.78,57.23,7.55,226
Pidgeot,Vibrava,62.04,54.49,7.55,221
Tauros,Blastoise,65.67,58.16,7.51,220
Arcanine,Scyther,63.96,56.45,7.5,253
Tauros,Marowak,61.01,53.52,7.49,226
Suicune,Electrode,61.06,53.57,7.49,233
Suicune,Gyarados,64.07,56.59,7.49,217
Pidgeot,Growlithe,62.47,54.98,7.49,226
Tauros,Exploud,62.72,55.27,7.46,222
Fearow,Sceptile,62.5,55.05,7.45,215
Tauros,Sandslash,61.7,54.27,7.44,220
Groudon,Blastoise,64.65,57.21,7.44,218
Celebi,Magmar,61.64,54.21,7.43,212
Groudon,Ampharos,63.47,56.05,7.42,229
Moltres,Blastoise,62.75,55.34,7.42,216
Suicune,Raichu,62.1,54.69,7.41,236
Celebi,Slowbro,61.27,53.88,7.4,219
Scizor,Snorlax,62.43,55.05,7.38,219
Pidgeot,Gyarados,67.09,59.73,7.37,217
Pidgeot,Golem,62.63,55.27,7.36,222
Groudon,Blissey,62.52,55.17,7.34,205
Pidgeot,Flareon,62.97,55.64,7.34,223
Tauros,Bellossom,63.57,56.23,7.33,217
Celebi,Golem,62.01,54.68,7.33,187
Groudon,Skarmory,61.94,54.61,7.32,208
Scizor,Typhlosion,63.51,56.2,7.31,210
Groudon,Manectric,63.07,55.78,7.29,217
Lugia,Marowak,61.53,54.24,7.29,196
Fearow,Blissey,60.63,53.35,7.28,214
Suicune,Sceptile,63.37,56.09,7.28,230
Scizor,Vileplume,64.17,56.89,7.28,204
Arcanine,Vileplume,63.82,56.56,7.26,223
Scizor,Sandslash,61.84,54.61,7.24,196
Celebi,Scyther,64.5,57.26,7.24,224
Celebi,Magcargo,60.86,53.63,7.23,209
Arcanine,Rapidash,64.31,57.1,7.21,228
Xatu,Tyranitar,60.14,52.94,7.2,227
Lugia,Gyarados,66.23,59.04,7.19,226
Lugia,Scizor,70.57,63.39,7.18,218
Arcanine,Crobat,60.9,53.72,7.18,215
Scizor,Feraligatr,63.22,56.04,7.18,253
Scizor,Flareon,61.74,54.57,7.17,210
Fearow,Moltres,63.88,56.73,7.15,231
Scizor,Charizard,66.29,59.14,7.14,240
Lugia,Blissey,63.97,56.84,7.12,220
Suicune,Flygon,62.8,55.7,7.11,224
Raikou,Vileplume,63.03,55.95,7.08,221
Fearow,Xatu,62.23,55.16,7.07,213
Celebi,Venusaur,66.65,59.59,7.07,244
Groudon,Gyarados,64.41,57.37,7.04,211
Pidgeot,Exeggutor,61.1,54.05,7.04,228
Lugia,Azumarill,61.03,54.0,7.03,224
Blastoise,Xatu,60.79,53.77,7.03,199
Tauros,Starmie,62.95,55.95,7.0,217
Tauros,Vileplume,63.55,56.55,7.0,224
Celebi,Groudon,69.18,62.19,6.99,236
Groudon,Slowbro,59.09,52.11,6.98,213
Suicune,Flaaffy,62.35,55.38,6.97,225
Raikou,Gyarados,64.68,57.72,6.96,216
Arcanine,Feraligatr,62.66,55.71,6.95,225
Lugia,Venusaur,66.44,59.5,6.94,208
Celebi,Skarmory,63.3,56.38,6.93,206
Lugia,Snorlax,62.36,55.43,6.93,244
Arcanine,Gyarados,65.25,58.33,6.92,220
Scizor,Bellossom,63.5,56.58,6.92,236
Lugia,Steelix,60.59,53.67,6.92,211
Arcanine,Groudon,68.3,61.39,6.91,225
Donphan,Jolteon,59.99,53.08,6.91,210
Tauros,Jolteon,63.12,56.21,6.91,187
Scizor,Electrode,62.54,55.64,6.89,250
Lugia,Sandslash,61.88,54.98,6.89,225
Suicune,Typhlosion,61.0,54.12,6.87,227
Scizor,Persian,61.36,54.49,6.87,238
Donphan,Blastoise,61.9,55.03,6.87,247
Raikou,Rapidash,63.36,56.48,6.87,228
Raikou,Blissey,62.35,55.52,6.83,201
