Pokemon,Tier,Winrate,Std_Dev,Sample_Size
Pidgeot,6,65.14,13.89,3113
Celebi,6,63.95,14.08,3184
Lugia,6,63.77,14.78,3241
Scizor,6,63.01,13.51,3226
Arcanine,6,62.35,14.78,3302
Tauros,6,62.33,16.89,3260
Raikou,6,61.12,15.94,3168
Groudon,6,60.43,14.56,3263
Suicune,6,58.86,17.8,3318
Fearow,5,56.78,16.22,3296
Moltres,6,56.68,16.32,3197
Donphan,4,56.07,18.76,3252
Charizard,5,55.28,16.18,3269
Venusaur,5,55.22,14.82,3261
Gyarados,5,54.31,15.09,3281
Blastoise,5,53.99,16.95,3238
Xatu,4,53.54,18.82,3237
Sceptile,5,53.32,16.96,3291
Flygon,5,52.53,16.95,3303
Tyranitar,6,52.33,16.57,3206
Flaaffy,4,51.89,18.54,3216
Rapidash,5,51.85,17.13,3208
Ampharos,6,51.68,17.71,3141
Manectric,5,51.13,16.99,3233
Vileplume,6,50.77,16.65,3277
Scyther,5,50.56,16.56,3388
Raichu,5,50.51,18.14,3248
Electabuzz,4,50.38,17.58,3324
Bellossom,6,50.14,16.49,3284
Jolteon,4,50.09,18.09,3237
Blissey,5,49.92,18.15,3202
Starmie,5,49.56,17.8,3269
Typhlosion,5,49.39,17.2,3324
Feraligatr,5,49.07,17.25,3429
Skarmory,5,48.8,18.49,3244
Electrode,4,48.28,18.76,3223
Exploud,4,48.2,19.28,3205
Noctowl,5,47.96,16.57,3257
Snorlax,5,47.09,18.12,3281
Sandslash,5,46.2,17.72,3145
Flareon,4,46.13,17.88,3316
Persian,4,45.97,18.32,3252
Dugtrio,4,45.79,17.88,3186
Golem,5,45.41,18.15,3097
Cradily,5,45.4,17.18,3283
Crobat,4,45.09,17.97,3318
Tropius,6,45.0,17.86,3265
Growlithe,4,44.82,18.64,3249
Marowak,5,44.71,17.91,3214
Vaporeon,4,44.55,17.79,3246
Magmar,4,44.47,18.12,3237
Azumarill,5,44.22,18.05,3281
Magneton,5,43.86,18.19,3236
Vibrava,4,43.84,17.67,3210
Slowbro,4,43.8,18.26,3307
Steelix,5,43.57,18.01,3221
Magcargo,5,43.31,18.61,3238
Graveler,4,43.29,18.57,3220
Exeggutor,4,42.97,18.31,3327
Ninetales,4,42.82,17.66,3210
Girafarig,4,42.8,18.8,3281
Camerupt,4,42.79,18.29,3202
Cacturne,4,42.75,17.99,3183
Tentacruel,4,42.74,18.14,3169
Pelipper,4,42.73,18.15,3226
Pupitar,4,42.29,17.9,3241
Miltank,4,42.15,18.34,3219
Pidgeotto,4,42.14,17.94,3225
Slaking,5,41.97,18.46,3114
Golduck,4,41.77,17.86,3242
Electrike,4,41.26,18.19,3266
Staryu,4,40.9,18.07,3161
Lileep,4,40.86,17.48,3259
Gloom,4,39.85,17.97,3258
