Pokemon,Tier,Winrate,Std_Dev,Sample_Size
Combusken,2,65.68,12.78,1131
Raticate,2,63.16,14.88,1084
Magby,2,60.01,15.39,1082
Marshtomp,2,59.0,15.58,1064
Elekid,2,58.1,15.44,1066
Bayleef,2,56.81,15.75,1095
Meowth,2,55.62,16.26,1042
Eevee,2,55.4,16.14,1155
Whismur,2,55.2,16.39,1111
Slowpoke,2,54.78,15.91,1058
Numel,2,53.27,16.83,1046
Phanpy,2,53.08,16.25,1065
Pidgey,2,52.77,15.79,1020
Zubat,2,52.14,15.35,1109
Oddish,2,51.7,16.24,1080
Cacnea,2,51.39,16.31,1053
Sunkern,2,51.19,15.95,1092
Pikachu,2,50.79,17.26,1111
Wingull,2,49.7,15.55,1070
Vulpix,2,49.44,15.91,1089
Tentacool,2,48.28,16.82,1029
Mareep,2,47.56,16.16,1070
Diglett,2,47.26,15.32,1086
Slakoth,1,46.59,16.73,1049
Charmander,1,46.03,16.19,1129
Larvitar,2,44.82,18.06,1114
Bulbasaur,1,43.7,16.1,1093
Chikorita,1,43.07,16.93,1073
Torchic,1,42.77,16.65,1139
Porygon,1,42.75,16.76,1077
Treecko,1,42.72,15.75,1063
Cyndaquil,1,42.68,15.72,1051
Squirtle,1,41.73,16.33,1106
Rattata,1,41.53,16.73,1078
Totodile,1,40.85,16.53,1087
Mudkip,1,39.42,16.65,1077
Magikarp,2,25.51,13.4,1056
