Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Cacturne,Pupitar,75.75,52.95,22.8,65
Ninetales,Exeggutor,74.52,57.22,17.31,73
Ninetales,Exeggcute,67.12,50.7,16.42,67
Cacturne,Larvitar,65.96,49.81,16.14,72
Jolteon,Xatu,77.83,62.39,15.44,66
Persian,Porygon2,72.3,56.95,15.36,54
Electabuzz,Xatu,78.34,63.34,15.0,66
Donphan,Magmar,76.49,61.7,14.8,55
Donphan,Persian,75.75,61.04,14.71,71
Vaporeon,Persian,74.31,59.81,14.49,57
Tentacruel,Wingull,62.77,48.41,14.36,83
Jolteon,Meganium,72.45,58.22,14.23,61
Electabuzz,Donphan,77.95,63.82,14.13,80
Flareon,Donphan,77.41,63.68,13.73,68
Jolteon,Crobat,75.05,61.44,13.61,83
Donphan,Ninetales,73.87,60.31,13.56,99
Electabuzz,Porygon2,73.23,59.72,13.51,72
Donphan,Electrike,72.19,58.91,13.28,83
Donphan,Jolteon,76.11,62.87,13.24,85
Tentacruel,Pelipper,67.87,54.67,13.2,83
Electabuzz,Mantine,70.83,57.72,13.12,62
Flareon,Xatu,76.3,63.2,13.1,74
Crobat,Dugtrio,71.89,58.86,13.03,72
Vaporeon,Magmar,73.49,60.47,13.02,80
Pupitar,Whismur,60.07,47.09,12.98,75
Flareon,Exploud,74.03,61.11,12.92,67
Xatu,Vibrava,73.89,61.08,12.81,82
Electabuzz,Meganium,71.97,59.17,12.79,60
Flaaffy,Exeggutor,70.09,57.31,12.77,74
Vaporeon,Exeggutor,71.77,59.02,12.75,69
Vibrava,Exploud,71.7,58.98,12.72,73
Plusle,Minun,61.28,48.62,12.66,75
Xatu,Cacturne,72.45,59.88,12.57,71
Xatu,Magmar,73.76,61.22,12.54,67
Crobat,Electrode,71.03,58.5,12.53,75
Flareon,Slowbro,74.69,62.17,12.52,73
Donphan,Crobat,74.43,61.92,12.51,68
Flareon,Meganium,71.52,59.03,12.49,78
Flareon,Persian,73.77,61.38,12.39,63
Xatu,Dugtrio,72.16,59.8,12.36,76
Slowbro,Miltank,71.06,58.75,12.31,85
Electabuzz,Exeggutor,73.0,60.72,12.28,67
Jolteon,Vaporeon,73.87,61.64,12.23,74
Electabuzz,Cacturne,73.03,60.84,12.19,82
Donphan,Flaaffy,72.57,60.42,12.15,62
Jolteon,Cacturne,72.0,59.89,12.12,79
Xatu,Meganium,70.32,58.22,12.1,73
Donphan,Exploud,72.83,60.77,12.06,77
Electabuzz,Vibrava,74.08,62.03,12.04,77
Jolteon,Vibrava,73.09,61.08,12.01,74
Donphan,Xatu,74.86,62.86,12.0,70
Jolteon,Natu,67.17,55.23,11.95,78
Xatu,Electrode,71.38,59.44,11.94,87
Xatu,Vaporeon,73.58,61.64,11.94,70
Jolteon,Lileep,70.33,58.39,11.94,70
Electabuzz,Charmeleon,69.21,57.27,11.94,55
Vaporeon,Flaaffy,71.12,59.19,11.93,73
Magmar,Exploud,71.06,59.12,11.93,65
Miltank,Electrode,68.76,56.84,11.92,69
Electabuzz,Golbat,69.63,57.74,11.89,77
Magmar,Ninetales,70.54,58.67,11.87,68
Donphan,Vaporeon,73.96,62.12,11.85,74
Xatu,Flaaffy,71.77,59.94,11.84,70
Donphan,Girafarig,69.43,57.59,11.83,64
Electabuzz,Flareon,75.98,64.16,11.82,86
Xatu,Persian,72.35,60.56,11.79,44
Electabuzz,Crobat,74.16,62.39,11.77,64
Slowbro,Vibrava,71.78,60.05,11.73,66
Persian,Exeggutor,69.65,57.94,11.71,66
Persian,Exploud,70.14,58.47,11.67,66
Jolteon,Porygon2,70.44,58.77,11.67,79
Electabuzz,Slowbro,73.96,62.31,11.65,62
Jolteon,Exeggutor,71.42,59.77,11.65,67
Electabuzz,Gloom,69.66,58.0,11.65,75
Xatu,Golduck,70.63,58.99,11.64,92
Exploud,Electrike,67.97,56.34,11.63,68
Flareon,Magmar,73.63,62.03,11.59,64
Donphan,Miltank,71.76,60.26,11.5,84
Donphan,Staryu,69.5,58.13,11.37,77
Donphan,Camerupt,68.82,57.47,11.36,72
Flareon,Porygon2,70.95,59.58,11.36,69
Flareon,Girafarig,69.24,57.94,11.31,62
Flareon,Pidgeotto,69.38,58.08,11.3,65
Crobat,Persian,70.87,59.62,11.26,88
Electabuzz,Pidgeotto,69.45,58.22,11.24,91
Flareon,Jolteon,74.33,63.2,11.13,83
Electabuzz,Magmar,73.29,62.17,11.11,66
Flaaffy,Cacturne,68.55,57.44,11.11,76
Magmar,Meganium,68.1,57.05,11.05,74
Persian,Cacturne,69.09,58.06,11.03,83
Donphan,Porygon2,70.27,59.25,11.02,70
Crobat,Vibrava,71.14,60.13,11.01,76
Vibrava,Electrode,69.14,58.14,11.01,77
Xatu,Miltank,70.74,59.78,10.96,68
Ninetales,Electrode,67.86,56.89,10.96,81
Golduck,Pelipper,64.89,53.98,10.91,67
Electabuzz,Lileep,70.24,59.34,10.9,62
Flareon,Flaaffy,71.65,60.75,10.9,68
Vaporeon,Cacturne,70.0,59.14,10.87,85
Donphan,Gloom,68.38,57.53,10.86,75
Vaporeon,Porygon2,68.87,58.02,10.85,57
Magmar,Electrode,69.12,58.27,10.85,80
Dugtrio,Mantine,65.02,54.18,10.84,55
Loudred,Pupitar,60.76,49.95,10.81,89
Electabuzz,Phanpy,66.45,55.65,10.8,77
Donphan,Electrode,70.72,59.92,10.8,83
Electabuzz,Vaporeon,73.37,62.59,10.77,60
Xatu,Staryu,68.41,57.65,10.76,62
Slowbro,Exeggutor,69.48,58.73,10.75,79
Electabuzz,Persian,72.23,61.52,10.71,71
Flareon,Loudred,68.41,57.7,10.71,56
Flareon,Miltank,71.29,60.6,10.69,60
Jolteon,Magmar,71.88,61.22,10.66,64
Crobat,Golduck,68.69,58.05,10.65,61
Electabuzz,Spearow,67.09,56.44,10.65,76
Magmar,Cacturne,69.35,58.72,10.64,77
Donphan,Blaziken,67.67,57.03,10.64,86
Jolteon,Slowbro,71.99,61.36,10.63,69
Jolteon,Golduck,69.62,59.0,10.62,76
Ninetales,Meganium,66.21,55.67,10.54,62
Persian,Electrode,68.12,57.62,10.5,74
Dugtrio,Tentacruel,67.59,57.1,10.49,79
Flareon,Cacturne,71.17,60.7,10.47,86
Exploud,Pelipper,65.75,55.28,10.47,64
Donphan,Golduck,69.94,59.47,10.47,67
Vibrava,Growlithe,65.65,55.21,10.44,68
Vaporeon,Electrode,69.11,58.7,10.41,76
Vaporeon,Meganium,67.87,57.47,10.4,69
Electabuzz,Natu,66.57,56.18,10.39,67
Persian,Golduck,67.54,57.17,10.37,68
Xatu,Exeggutor,70.12,59.76,10.36,85
Donphan,Pelipper,68.22,57.86,10.36,78
Xatu,Ponyta,66.81,56.48,10.34,54
Electabuzz,Exploud,71.58,61.25,10.33,63
Vaporeon,Magnemite,64.48,54.2,10.28,85
Flareon,Staryu,68.69,58.47,10.22,86
Magmar,Porygon2,67.81,57.6,10.21,70
Crobat,Phanpy,63.9,53.75,10.16,82
Slowbro,Gloom,66.14,56.02,10.12,69
Electabuzz,Zubat,62.34,52.22,10.11,68
Flareon,Smeargle,64.82,54.73,10.09,91
Electabuzz,Hoothoot,63.34,53.24,10.09,67
Jolteon,Gloom,67.14,57.05,10.09,69
Persian,Golbat,65.04,54.96,10.08,78
Jolteon,Spearow,65.57,55.48,10.08,66
Magmar,Vibrava,69.98,59.91,10.07,83
Slowbro,Ponyta,65.48,55.45,10.04,76
Electabuzz,Marill,63.2,53.16,10.03,70
Donphan,Vibrava,71.56,61.56,10.01,72
Exploud,Girafarig,65.03,55.03,10.01,71
Donphan,Pidgeotto,67.73,57.73,10.0,59
Slowbro,Exploud,69.26,59.26,10.0,71
Crobat,Exeggutor,68.8,58.81,9.98,54
Electabuzz,Miltank,70.71,60.74,9.97,66
Vibrava,Staryu,66.31,56.34,9.97,66
Magmar,Girafarig,65.91,55.95,9.96,70
Crobat,Slowbro,70.36,60.41,9.96,76
Flareon,Vaporeon,72.4,62.45,9.94,68
Slowbro,Chansey,61.91,51.97,9.94,76
Jolteon,Miltank,69.72,59.78,9.94,71
Flareon,Vibrava,71.84,61.89,9.94,77
Dugtrio,Miltank,67.1,57.2,9.9,80
Persian,Flaaffy,67.98,58.12,9.87,75
Dugtrio,Porygon2,66.04,56.19,9.85,77
Electrike,Pelipper,63.24,53.42,9.82,74
Magmar,Exeggutor,68.41,58.59,9.81,73
Xatu,Crobat,71.2,61.44,9.77,73
Donphan,Cacturne,70.11,60.36,9.75,81
Xatu,Porygon2,68.51,58.77,9.74,59
Ninetales,Gloom,64.22,54.5,9.72,71
Flareon,Golduck,69.5,59.81,9.69,66
Xatu,Lileep,68.05,58.39,9.67,79
Xatu,Ninetales,69.51,59.84,9.67,64
Vaporeon,Exploud,69.2,59.55,9.66,68
Magmar,Gloom,65.54,55.88,9.66,75
Flareon,Electrike,68.9,59.25,9.65,80
Slowbro,Cacturne,68.5,58.85,9.65,67
Vaporeon,Loudred,65.76,56.14,9.63,78
Exploud,Ninetales,67.38,57.75,9.63,84
Crobat,Flaaffy,68.58,58.99,9.59,85
Donphan,Slowbro,71.41,61.83,9.58,80
Vibrava,Electrike,66.67,57.12,9.54,66
Exploud,Dugtrio,67.24,57.72,9.53,75
Vaporeon,Crobat,70.21,60.69,9.52,62
Persian,Ponyta,64.18,54.66,9.52,76
Xatu,Electrike,67.94,58.43,9.51,76
Jolteon,Mantine,66.24,56.76,9.48,71
Jolteon,Golbat,66.26,56.78,9.48,65
Flareon,Gloom,67.32,57.86,9.46,77
Jolteon,Loudred,66.34,56.89,9.46,71
Jolteon,Pelipper,66.83,57.38,9.45,78
Magmar,Lileep,66.65,57.22,9.43,80
Slowbro,Persian,68.9,59.53,9.37,87
Slowbro,Electrode,67.78,58.41,9.37,70
Vaporeon,Ponyta,65.08,55.73,9.35,72
Flareon,Blaziken,66.7,57.38,9.33,76
Persian,Meganium,65.71,56.39,9.32,73
Flaaffy,Meganium,65.08,55.77,9.31,70
Loudred,Larvitar,56.11,46.81,9.3,79
Vibrava,Persian,68.54,59.26,9.29,76
Electabuzz,Ponyta,66.72,57.44,9.28,75
Flaaffy,Mantine,63.57,54.31,9.26,81
Electrode,Mantine,63.06,53.81,9.25,58
Crobat,Tentacruel,67.96,58.73,9.23,78
Vibrava,Swampert,64.12,54.89,9.23,80
Flareon,Electrode,69.48,60.26,9.22,81
Crobat,Exploud,68.56,59.34,9.21,72
Tentacruel,Graveler,62.86,53.65,9.21,74
Donphan,Quilava,64.14,54.95,9.19,68
Donphan,Grovyle,65.31,56.12,9.19,91
Pidgeotto,Girafarig,61.17,51.99,9.18,62
Flareon,Vigoroth,63.39,54.22,9.17,55
Dugtrio,Golbat,63.37,54.2,9.17,69
Xatu,Camerupt,66.14,56.98,9.16,70
Magmar,Camerupt,64.98,55.82,9.16,87
Exploud,Tentacruel,66.73,57.59,9.15,72
Jolteon,Ivysaur,65.13,56.03,9.1,88
Xatu,Pidgeotto,66.35,57.26,9.09,78
Xatu,Tentacruel,68.76,59.67,9.09,66
Persian,Swampert,63.46,54.37,9.09,77
Miltank,Meganium,64.69,55.61,9.08,85
Xatu,Graveler,65.43,56.36,9.07,77
Vaporeon,Phanpy,63.01,53.95,9.06,69
Electrike,Graveler,61.46,52.41,9.06,64
Xatu,Exploud,69.34,60.29,9.05,78
Vibrava,Ninetales,67.57,58.53,9.04,67
Exeggutor,Tentacruel,66.09,57.05,9.04,78
Jolteon,Girafarig,66.16,57.12,9.04,64
Donphan,Mantine,66.28,57.23,9.04,77
Jolteon,Swampert,65.23,56.2,9.03,76
Magmar,Flaaffy,67.79,58.77,9.02,81
Flareon,Tentacruel,69.52,60.49,9.02,84
Electabuzz,Blaziken,66.53,57.52,9.02,77
Donphan,Tentacruel,69.16,60.16,9.0,95
Magmar,Persian,68.39,59.39,9.0,55
Xatu,Girafarig,66.1,57.12,8.98,67
Electabuzz,Swampert,66.13,57.15,8.98,70
Electabuzz,Ninetales,69.78,60.8,8.98,78
Exploud,Gloom,63.93,54.95,8.97,82
Magmar,Tentacruel,67.46,58.51,8.95,73
Golduck,Charmeleon,61.85,52.92,8.93,73
Vaporeon,Girafarig,65.29,56.37,8.92,86
Slowbro,Camerupt,64.87,55.95,8.92,84
Xatu,Loudred,65.78,56.88,8.9,86
Donphan,Lileep,67.76,58.87,8.89,85
Xatu,Blaziken,65.43,56.55,8.88,89
Flareon,Ninetales,69.53,60.66,8.88,64
Electabuzz,Wartortle,64.07,55.22,8.85,70
Slowbro,Pelipper,65.19,56.34,8.85,64
Vibrava,Flaaffy,67.48,58.63,8.85,71
Donphan,Golbat,66.09,57.26,8.83,87
Electrode,Staryu,63.54,54.71,8.83,65
Ninetales,Tentacruel,65.95,57.13,8.82,76
Electrike,Wingull,55.98,47.16,8.82,78
Cacturne,Tentacruel,65.99,57.17,8.81,63
Crobat,Miltank,67.65,58.84,8.81,77
Flareon,Exeggutor,69.39,60.58,8.81,77
Cacturne,Porygon2,65.07,56.27,8.8,71
Exeggutor,Golduck,65.17,56.37,8.8,69
Crobat,Magmar,69.07,60.27,8.8,82
Crobat,Lileep,66.21,57.44,8.77,78
Miltank,Porygon2,64.93,56.16,8.76,79
Flaaffy,Miltank,66.09,57.34,8.76,76
Magmar,Spearow,63.05,54.31,8.74,79
Jolteon,Ninetales,68.58,59.84,8.74,82
Crobat,Graveler,64.13,55.41,8.72,85
Flareon,Onix,62.49,53.78,8.71,63
Xatu,Slowbro,70.06,61.35,8.71,69
Slowbro,Exeggcute,60.93,52.22,8.71,81
Electabuzz,Pelipper,67.02,58.33,8.69,80
Flareon,Golbat,66.29,57.6,8.69,65
Donphan,Natu,64.38,55.7,8.68,75
Exeggutor,Pelipper,63.44,54.75,8.68,77
Vibrava,Porygon2,66.12,57.46,8.66,67
Vaporeon,Charmeleon,64.21,55.56,8.65,83
Electabuzz,Tentacruel,69.27,60.63,8.63,60
Crobat,Porygon2,66.45,57.82,8.63,75
Dugtrio,Voltorb,58.88,50.26,8.62,69
Slowbro,Tentacruel,67.27,58.64,8.62,63
Miltank,Girafarig,63.12,54.52,8.61,61
Electabuzz,Dugtrio,69.35,60.77,8.59,73
Jolteon,Tentacruel,68.27,59.68,8.59,71
Dugtrio,Pidgeotto,63.26,54.68,8.58,68
Electabuzz,Ivysaur,65.55,56.98,8.57,66
Magmar,Miltank,67.16,58.61,8.54,83
Electabuzz,Girafarig,66.62,58.08,8.54,82
Xatu,Magnemite,63.48,54.94,8.54,78
Persian,Growlithe,63.22,54.7,8.53,74
Miltank,Lileep,64.32,55.78,8.53,89
Slowbro,Dugtrio,67.31,58.77,8.53,82
Flareon,Whismur,63.35,54.84,8.51,82
Jolteon,Persian,69.08,60.56,8.51,64
Persian,Tentacruel,66.35,57.86,8.5,58
Persian,Lileep,65.06,56.56,8.49,78
Jolteon,Pidgey,60.92,52.44,8.48,90
Exploud,Cacturne,66.27,57.79,8.48,91
Tentacruel,Girafarig,62.88,54.41,8.47,73
Exploud,Miltank,66.13,57.69,8.44,76
Slowbro,Magmar,68.63,60.19,8.44,75
Flareon,Pidgey,61.7,53.25,8.44,62
Vibrava,Blaziken,63.69,55.25,8.44,67
Jolteon,Pidgeotto,65.67,57.26,8.41,88
Crobat,Minun,62.67,54.27,8.4,70
Exploud,Flaaffy,66.2,57.84,8.36,68
Flaaffy,Dugtrio,65.67,57.36,8.31,69
