Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Charmeleon,Smeargle,74.0,56.55,17.45,40
Blaziken,Porygon2,82.44,65.02,17.43,53
Ponyta,Wartortle,78.49,61.77,16.72,52
Minun,Plusle,77.32,60.69,16.64,45
Swampert,Loudred,77.35,60.88,16.47,31
Blaziken,Ponyta,81.42,65.31,16.1,45
Porygon2,Smeargle,71.45,55.4,16.05,40
Charmeleon,Loudred,77.01,61.27,15.73,32
Mantine,Plusle,77.65,61.95,15.7,43
Swampert,Ponyta,79.82,64.31,15.51,37
Blaziken,Smeargle,72.59,57.16,15.43,44
Blaziken,Swampert,81.16,65.78,15.38,43
Whismur,Larvitar,60.01,44.66,15.35,33
Meganium,Minun,79.2,63.9,15.3,48
Golbat,Porygon2,79.54,64.28,15.26,57
Meganium,Spearow,78.05,62.81,15.24,33
Blaziken,Loudred,76.96,61.89,15.07,41
Quilava,Spearow,74.47,59.66,14.82,42
Meganium,Plusle,78.36,63.77,14.6,45
Porygon2,Grovyle,76.17,61.63,14.54,55
Meganium,Mantine,79.69,65.16,14.53,38
Blaziken,Wartortle,77.75,63.23,14.52,46
Charmeleon,Swampert,79.62,65.16,14.46,28
Swampert,Minun,77.15,62.8,14.36,52
Golbat,Minun,77.26,63.07,14.19,36
Ivysaur,Ponyta,78.71,64.55,14.16,35
Ponyta,Loudred,74.57,60.42,14.15,35
Meganium,Blaziken,80.98,66.88,14.1,45
Ponyta,Mantine,77.62,63.59,14.03,43
Meganium,Ponyta,79.44,65.42,14.02,40
Golbat,Plusle,76.96,62.93,14.02,39
Spearow,Smeargle,66.99,53.09,13.9,28
Meganium,Natu,74.34,60.45,13.89,40
Quilava,Wartortle,74.07,60.17,13.89,38
Meganium,Golbat,80.04,66.15,13.89,41
Swampert,Wartortle,76.11,62.22,13.88,32
Meganium,Wartortle,77.19,63.33,13.86,44
Meganium,Croconaw,76.13,62.33,13.8,30
