Pokemon,Tier,Winrate,Std_Dev,Sample_Size
Electabuzz,4,64.3,15.01,1279
Flareon,4,64.02,14.97,1308
Donphan,4,63.34,17.83,1344
Jolteon,4,62.39,16.29,1337
Xatu,4,62.38,17.22,1325
Vaporeon,4,60.89,16.75,1337
Crobat,4,60.49,16.23,1308
Slowbro,4,60.32,16.73,1338
Magmar,4,60.05,16.75,1347
Vibrava,4,59.77,16.78,1280
Persian,4,58.74,18.17,1272
Exploud,4,58.2,17.73,1334
Flaaffy,4,57.49,17.57,1297
Cacturne,4,57.38,17.99,1355
Ninetales,4,57.29,17.91,1362
Dugtrio,4,57.23,16.76,1298
Miltank,4,57.18,18.14,1325
Exeggutor,4,57.14,18.4,1292
Tentacruel,4,56.97,17.49,1315
Electrode,4,56.5,18.74,1348
Golduck,4,55.6,17.81,1282
Porygon2,3,55.15,19.42,1300
Electrike,4,54.48,17.74,1341
Lileep,4,54.39,17.94,1317
Meganium,3,54.05,18.85,1302
Staryu,4,52.92,17.8,1305
Pelipper,4,52.37,18.1,1332
Pidgeotto,4,52.13,18.56,1302
Girafarig,4,51.85,19.38,1254
Gloom,4,51.71,18.8,1328
Camerupt,4,51.59,18.48,1386
Loudred,3,51.38,19.17,1329
Golbat,3,51.18,18.46,1315
Mantine,3,51.13,18.71,1270
Blaziken,3,50.73,18.57,1310
Growlithe,4,50.65,19.06,1297
Ponyta,3,50.57,19.35,1280
Graveler,4,50.33,18.62,1355
Charmeleon,3,50.24,18.74,1294
Swampert,3,50.0,18.8,1322
Ivysaur,3,49.67,18.12,1330
Plusle,3,49.2,18.49,1321
Grovyle,3,48.89,19.09,1351
Spearow,3,48.58,19.11,1327
Pupitar,4,48.51,19.42,1353
Natu,3,48.06,19.48,1275
Minun,3,48.05,18.39,1347
Magnemite,3,47.5,20.7,1317
Phanpy,2,47.0,19.91,1364
Quilava,3,46.57,18.42,1302
Wartortle,3,46.14,19.01,1356
Sunflora,3,46.03,19.6,1293
Croconaw,3,45.87,18.38,1239
Whismur,2,45.67,19.95,1284
Smeargle,3,45.44,20.16,1297
Cubone,3,45.42,18.4,1318
Sandshrew,3,45.13,18.73,1284
Slugma,3,45.1,19.27,1337
Raticate,2,44.91,19.68,1335
Trapinch,3,44.44,19.24,1365
Vigoroth,3,44.42,19.01,1280
Exeggcute,3,44.12,20.39,1305
Chansey,3,43.61,19.98,1274
Onix,3,43.55,19.19,1240
Geodude,3,43.55,19.52,1267
Voltorb,3,43.29,19.51,1287
Combusken,2,43.09,19.04,1359
Pikachu,2,42.94,19.6,1306
Pidgey,2,42.49,20.22,1354
Larvitar,2,42.25,19.14,1330
Hoothoot,3,42.19,18.5,1294
Magby,2,42.16,19.1,1334
Marill,3,42.03,18.95,1365
Bayleef,2,42.01,19.08,1377
Diglett,2,42.0,18.76,1328
Elekid,2,41.99,19.55,1354
Numel,2,41.69,19.64,1351
Psyduck,3,41.22,19.39,1286
Mareep,2,41.12,19.07,1355
Cacnea,2,40.96,19.25,1343
Eevee,2,40.22,19.53,1297
Slowpoke,2,40.21,19.16,1318
Zubat,2,40.15,18.86,1367
Oddish,2,40.14,18.85,1298
Marshtomp,2,40.13,19.2,1336
Wingull,2,39.85,19.87,1328
Meowth,2,39.56,19.04,1319
Sunkern,2,39.25,18.89,1325
Vulpix,2,38.61,19.5,1352
Tentacool,2,38.59,19.28,1323
Magikarp,2,36.48,18.5,1331
